"Location Number","Location Name","Street Address","City","State/Country","ZIP/Postal Code","Building Description","Occupancy Type","Construction Type","Year Built","Number of Stories","Square Footage","Sprinkler System (Y/N)","Sprinkler Type","Fire Alarm (Central/Local/None)","Security System (Y/N)","Roof Type","Roof Age","Building Value","Contents Value","Business Interruption Value","Total Insured Value","Flood Zone (A/B/C/X)","Wind Tier (1/2/3/4)","Earthquake Zone (1-5)","Distance to Coast (miles)","Distance to Fire Station (miles)","Alarm System","BI Value","Building Cost","Contents Cost","Fire Protection","Protection Type","Replacement Cost","source_file"
"21","Pacific Retail - Columbia Standalone Retail","7733 Innovation Dr","Columbia","SC","29036","Standalone Retail","Retail - Standalone","Joisted Masonry","1989","3","45450","Y","Dry","Local","N","Built-Up","6","2085000","828000","1076000","3989000","X","3","1","85.9","3","","","","","","","","pacific_retail_sov"
"22","Pacific Retail - Greensboro Outlet Store","575 Jefferson Dr","Greensboro","NC","27562","Outlet Store","Retail - Outlet","Fire Resistive","2009","2","8772","N","N/A","Local","Y","Modified Bitumen","19","2174000","824000","554000","3552000","A","3","2","47.8","3.8","","","","","","","","pacific_retail_sov"
"23","Pacific Retail - Chattanooga Strip Mall","6311 River Rd","Chattanooga","TN","37641","Strip Mall","Retail - Strip Mall","Fire Resistive","2010","3","81975","Y","Wet","Central","Y","Single Ply Membrane","16","1106000","397000","595000","2098000","B","3","2","68.7","6.2","","","","","","","","pacific_retail_sov"
"24","Pacific Retail - Montgomery Shopping Centre","3671 Logistics Ln","Montgomery","AL","35452","Shopping Centre","Retail - Shopping Centre","Fire Resistive","2007","1","93215","Y","Wet/Dry","Central","Y","Single Ply Membrane","8","844000","328000","176000","1348000","X","3","2","135.5","4.7","","","","","","","","pacific_retail_sov"
"25","Pacific Retail - Savannah Strip Mall","9937 Market St","Savannah","GA","30905","Strip Mall","Retail - Strip Mall","Masonry Non-Combustible","1991","3","11365","N","N/A","Central","N","Modified Bitumen","14","2952000","828000","824000","4604000","A","3","1","141","2.8","","","","","","","","pacific_retail_sov"
"26","Pacific Retail - Sarasota Power Centre","4525 Terminal Blvd","Sarasota","FL","32776","Power Centre","Retail - Power Centre","Masonry Non-Combustible","1989","3","92874","Y","Dry","Local","Y","Modified Bitumen","13","1241000","572000","271000","2084000","X","4","1","148.1","7.7","","","","","","","","pacific_retail_sov"
"27","Pacific Retail - Rock Hill Standalone Retail","4681 River Rd","Rock Hill","SC","29808","Standalone Retail","Retail - Standalone","Masonry Non-Combustible","2000","1","44559","N","N/A","Central","Y","Modified Bitumen","12","551000","303000","239000","1093000","X","4","1","74.2","2.4","","","","","","","","pacific_retail_sov"
"28","Pacific Retail - Raleigh Shopping Centre","7853 Warehouse Row","Raleigh","NC","27568","Shopping Centre","Retail - Shopping Centre","Non-Combustible","2011","2","80768","Y","Wet/Dry","Local","N","Modified Bitumen","16","686000","182000","241000","1109000","X","4","1","64.7","4.9","","","","","","","","pacific_retail_sov"
"29","Pacific Retail - Knoxville Standalone Retail","9759 Warehouse Row","Knoxville","TN","37941","Standalone Retail","Retail - Standalone","Joisted Masonry","2002","2","40951","Y","Wet/Dry","Central","Y","Built-Up","25","2413000","1099000","646000","4158000","X","3","1","149","2.6","","","","","","","","pacific_retail_sov"
"30","Pacific Retail - Huntsville Standalone Retail","7790 Distribution Way","Huntsville","AL","35752","Standalone Retail","Retail - Standalone","Non-Combustible","2008","1","47618","Y","Wet/Dry","Central","Y","Built-Up","3","1847000","807000","514000","3168000","X","4","1","175.2","4.8","","","","","","","","pacific_retail_sov"
"31","Pacific Retail - Atlanta Standalone Retail","9866 Airport Blvd","Atlanta","GA","30867","Standalone Retail","Retail - Standalone","Joisted Masonry","1992","1","60521","Y","Wet/Dry","Central","N","Built-Up","6","2086000","936000","972000","3994000","B","2","1","28.1","6.2","","","","","","","","pacific_retail_sov"
"32","Pacific Retail - Pensacola Standalone Retail","9829 Distribution Way","Pensacola","FL","32403","Standalone Retail","Retail - Standalone","Joisted Masonry","2004","3","89399","Y","Wet/Dry","Central","Y","Single Ply Membrane","10","2205000","639000","836000","3680000","X","2","1","5.5","3.9","","","","","","","","pacific_retail_sov"
"33","Pacific Retail - Greenville Standalone Retail","5139 Sunset Blvd","Greenville","SC","29717","Standalone Retail","Retail - Standalone","Joisted Masonry","1989","3","38595","N","N/A","Central","N","Single Ply Membrane","15","1497000","532000","865000","2894000","X","3","1","18.9","1.7","","","","","","","","pacific_retail_sov"
"34","Pacific Retail - Asheville Standalone Retail","4515 Commerce Dr","Asheville","NC","27278","Standalone Retail","Retail - Standalone","Joisted Masonry","2002","3","78776","Y","Wet","Central","Y","Modified Bitumen","25","2560000","876000","1232000","4668000","X","3","1","199.9","5.5","","","","","","","","pacific_retail_sov"
"35","Pacific Retail - Chattanooga Standalone Retail","6661 Commerce Dr","Chattanooga","TN","37715","Standalone Retail","Retail - Standalone","Non-Combustible","2012","3","72451","N","N/A","Local","Y","Modified Bitumen","12","1236000","373000","645000","2254000","X","3","2","140.3","2.7","","","","","","","","pacific_retail_sov"
"36","Pacific Retail - Mobile Standalone Retail","4819 Corporate Dr","Mobile","AL","35710","Standalone Retail","Retail - Standalone","Fire Resistive","2010","3","8150","Y","Wet/Dry","Local","Y","Built-Up","8","1709000","720000","529000","2958000","C","4","1","44.7","4.6","","","","","","","","pacific_retail_sov"
"37","Pacific Retail - Macon Strip Mall","9131 Route 9","Macon","GA","30639","Strip Mall","Retail - Strip Mall","Masonry Non-Combustible","1985","3","61476","Y","Wet","Local","Y","Single Ply Membrane","17","2614000","792000","679000","4085000","B","4","2","196.1","2.3","","","","","","","","pacific_retail_sov"
"38","Pacific Retail - Sarasota Strip Mall","5546 Terminal Blvd","Sarasota","FL","32675","Strip Mall","Retail - Strip Mall","Fire Resistive","2002","2","52548","N","N/A","Central","Y","Built-Up","11","1966000","890000","372000","3228000","A","4","1","92.1","4.1","","","","","","","","pacific_retail_sov"
"39","Pacific Retail - Columbia Strip Mall","5539 Center St","Columbia","SC","29718","Strip Mall","Retail - Strip Mall","Joisted Masonry","1999","2","13720","Y","Dry","Central","Y","Modified Bitumen","23","2609000","1045000","562000","4216000","X","4","1","29.6","7.7","","","","","","","","pacific_retail_sov"
"40","Pacific Retail - Greensboro Shopping Centre","8094 Terminal Blvd","Greensboro","NC","27091","Shopping Centre","Retail - Shopping Centre","Non-Combustible","2011","3","28232","Y","Dry","Local","N","Modified Bitumen","22","1567000","610000","884000","3061000","A","4","1","127.2","7.2","","","","","","","","pacific_retail_sov"
"41","Pacific Retail - Memphis Standalone Retail","4100 Warehouse Row","Memphis","TN","37692","Standalone Retail","Retail - Standalone","Non-Combustible","1990","2","20903","Y","Wet/Dry","Central","Y","Single Ply Membrane","24","1950000","552000","1076000","3578000","B","2","1","74.9","3.7","","","","","","","","pacific_retail_sov"
"42","Pacific Retail - Huntsville Strip Mall","7337 Washington Blvd","Huntsville","AL","35946","Strip Mall","Retail - Strip Mall","Fire Resistive","2009","3","39566","Y","Wet/Dry","Central","Y","Modified Bitumen","22","486000","170000","247000","903000","X","4","1","137.1","1.7","","","","","","","","pacific_retail_sov"
"43","Pacific Retail - Athens Power Centre","903 Factory Rd","Athens","GA","30439","Power Centre","Retail - Power Centre","Masonry Non-Combustible","1997","2","71335","Y","Dry","Central","Y","Metal","24","894000","487000","261000","1642000","C","3","1","115.4","5.6","","","","","","","","pacific_retail_sov"
"44","Pacific Retail - Fort Myers Strip Mall","6907 Pine Dr","Fort Myers","FL","32328","Strip Mall","Retail - Strip Mall","Non-Combustible","2001","3","94400","Y","Wet","Central","Y","Built-Up","11","1170000","293000","429000","1892000","B","3","1","182.4","3","","","","","","","","pacific_retail_sov"
"45","Pacific Retail - Greenville Outlet Store","4432 Terminal Blvd","Greenville","SC","29175","Outlet Store","Retail - Outlet","Masonry Non-Combustible","1995","2","71156","N","N/A","Local","N","Metal","5","594000","168000","279000","1041000","X","4","1","22.6","3.5","","","","","","","","pacific_retail_sov"
"46","Pacific Retail - Asheville Standalone Retail","5086 Factory Rd","Asheville","NC","27113","Standalone Retail","Retail - Standalone","Joisted Masonry","2008","1","38647","Y","Wet/Dry","Central","Y","Single Ply Membrane","22","847000","455000","360000","1662000","B","4","1","32.3","7.6","","","","","","","","pacific_retail_sov"
"47","Pacific Retail - Clarksville Strip Mall","7385 Harbor Dr","Clarksville","TN","37515","Strip Mall","Retail - Strip Mall","Joisted Masonry","2014","2","78804","Y","Wet/Dry","Central","Y","Modified Bitumen","22","580000","252000","295000","1127000","C","3","1","139.6","2.1","","","","","","","","pacific_retail_sov"
"1","Summit Tower I","5589 Sunset Blvd","New York","NY","10001","Class A commercial office building","Office - Class A","Fire Resistive","2012","25","450000","Y","Wet","Central","Y","Single Ply Membrane","6","4625000","1109000","1589000","7323000","B","3","2","27.9","1.6","","","","","","","","summit_office_sov"
"2","Summit Tower II","1945 Third Ave","New York","NY","10036","Class A commercial office building","Office - Class A","Fire Resistive","2015","30","520000","Y","Wet","Central","Y","Single Ply Membrane","12","8945000","3447000","2991000","15383000","X","4","2","8.9","0.9","","","","","","","","summit_office_sov"
"3","Summit Brooklyn Heights","9402 Broadway","Brooklyn","NY","11201","Class A commercial office building","Office - Class A","Fire Resistive","2016","18","280000","Y","Wet","Central","Y","Single Ply Membrane","9","9689000","4182000","2352000","16223000","X","4","2","23.9","0.9","","","","","","","","summit_office_sov"
"4","Summit Waterfront","1662 Pine Dr","Jersey City","NJ","07302","Class A commercial office building","Office - Class A","Fire Resistive","2014","22","340000","Y","Wet","Central","Y","Single Ply Membrane","12","6168000","2664000","888000","9720000","B","4","2","3.5","3","","","","","","","","summit_office_sov"
"5","Summit Stamford Centre","4474 Third Ave","Stamford","CT","06901","Class A commercial office building","Office - Class A","Fire Resistive","2010","12","180000","Y","Wet","Central","Y","Single Ply Membrane","9","5917000","2019000","2850000","10786000","X","4","2","7.8","1.3","","","","","","","","summit_office_sov"
"6","Summit White Plains","2036 Logistics Ln","White Plains","NY","10601","Class A commercial office building","Office - Class A","Fire Resistive","2018","10","155000","Y","Wet","Central","Y","Single Ply Membrane","11","7810000","3861000","3896000","15567000","B","3","2","2.8","1.3","","","","","","","","summit_office_sov"
"1","Western DC - Denver","1334 Pine Dr","Denver","CO","80779","Warehouse & distribution center","Warehouse - Distribution","Non-Combustible","2013","1","229199","Y","ESFR","Central","Y","Metal","6","5245000","1917000","3015000","10177000","X","4","2","661.4","5.6","","","","","","","","western_distribution_sov"
"2","Western DC - Colorado Springs","5866 Mill St","Colorado Springs","CO","80147","Warehouse & distribution center","Warehouse - Distribution","Non-Combustible","2013","1","224421","Y","ESFR","Central","Y","Single Ply Membrane","5","3336000","1299000","1260000","5895000","X","4","2","777.8","4.5","","","","","","","","western_distribution_sov"
"3","Western DC - Salt Lake City","7681 Commerce Dr","Salt Lake City","UT","84793","Warehouse & distribution center","Warehouse - Distribution","Non-Combustible","2008","1","74913","Y","ESFR","Central","Y","Single Ply Membrane","7","5345000","2922000","2182000","10449000","X","4","3","669","4","","","","","","","","western_distribution_sov"
"4","Western DC - Provo","2927 Commerce Dr","Provo","UT","84377","Warehouse & distribution center","Warehouse - Distribution","Non-Combustible","2015","1","191430","Y","Wet","Central","Y","Metal","3","2672000","1279000","757000","4708000","X","4","3","889.4","1.5","","","","","","","","western_distribution_sov"
"5","Western DC - Phoenix","1179 Third Ave","Phoenix","AZ","85186","Warehouse & distribution center","Warehouse - Distribution","Non-Combustible","2013","1","157740","Y","ESFR","Central","Y","Single Ply Membrane","9","5196000","1858000","2203000","9257000","X","4","2","773.5","4.9","","","","","","","","western_distribution_sov"
"6","Western DC - Tucson","6521 Highway 1","Tucson","AZ","85914","Warehouse & distribution center","Warehouse - Distribution","Non-Combustible","2012","1","249722","Y","ESFR","Central","Y","Built-Up","12","5312000","1684000","1423000","8419000","X","4","2","850","2.9","","","","","","","","western_distribution_sov"
"7","Western DC - Las Vegas","6028 Industrial Blvd","Las Vegas","NV","89542","Warehouse & distribution center","Warehouse - Distribution","Non-Combustible","2013","1","93500","Y","Wet","Central","Y","Built-Up","14","3539000","1479000","651000","5669000","X","4","3","687.6","3.5","","","","","","","","western_distribution_sov"
"8","Western DC - Reno","8943 Warehouse Row","Reno","NV","89059","Warehouse & distribution center","Warehouse - Distribution","Non-Combustible","2013","1","187473","Y","Wet","Central","Y","Metal","6","6777000","1806000","1843000","10426000","X","4","3","806.7","1.6","","","","","","","","western_distribution_sov"
