claim_id,policy_id,promised_line_id,insured_name,loss_date,report_date,close_date,claim_status,loss_type,loss_description,location_state,paid_amount,reserved_amount,total_incurred,deductible_applied,recovery_amount,net_incurred,cause_of_loss,cat_event_flag,cat_event_name,large_loss_flag
CLM-000126,POL-01170,PL-01170,Riverside Agricultural Coop,2021-11-30,2021-12-13,2022-04-16,Closed,Water Damage,Pipe burst caused interior flooding,NC,227406,0,227406,27167,8421,227406,Water Damage,False,,False
CLM-000127,POL-01361,PL-01361,Keystone Office Holdings,2021-07-05,2021-07-18,2022-04-20,Closed,Equipment Breakdown,Generator failure during power outage,VA,163089,0,163089,48933,2081,163089,Equipment Breakdown,False,,False
CLM-000128,POL-01111,PL-01111,Xenon Technology Inc,2023-05-11,2023-05-18,2023-07-31,Closed,Lightning,Lightning caused transformer failure,CA,24520,0,24520,46634,1159,24520,Lightning,False,,False
CLM-000129,POL-01066,PL-01066,Quantum Data Systems LLC,2024-12-07,2024-12-09,2025-12-05,Closed,Water Damage,Sprinkler malfunction caused water damage,TN,321732,0,321732,29324,254,321732,Water Damage,False,,True
CLM-000130,POL-01275,PL-01275,Falcon Energy Partners,2021-12-30,2022-01-09,,Open,Theft/Vandalism,"Forced entry, electronics stolen",MN,203439,51719,255158,488165,5275,255158,Theft/Vandalism,False,,True
CLM-000131,POL-01141,PL-01141,Beacon Light Industries,2025-11-10,2025-11-22,,Open,Theft/Vandalism,Copper wire theft from HVAC units,TN,175080,42144,217224,139074,3253,217224,Theft/Vandalism,False,,False
CLM-000132,POL-01422,PL-01422,Uptown Retail Partners,2023-11-29,2023-12-02,2024-03-30,Closed,Equipment Breakdown,Generator failure during power outage,VA,206080,0,206080,29273,8104,206080,Equipment Breakdown,False,,False
CLM-000133,POL-01025,PL-01025,Frontier Agricultural Services,2025-09-20,2025-09-25,2026-09-03,Closed,Water Damage,HVAC condensation leak,CA,132122,0,132122,78714,5174,132122,Water Damage,False,,False
CLM-000134,POL-01333,PL-01333,Trafalgar Real Estate,2021-10-23,2021-10-30,2021-12-15,Closed,Fire,Welding sparks caused small fire,VA,531092,0,531092,37263,15893,531092,Fire,False,,True
CLM-000135,POL-01520,PL-01520,Stonebridge Real Estate,2022-04-02,2022-04-04,2022-12-02,Closed,Fire,Electrical fire in utility room,FL,168112,0,168112,33622,8142,168112,Fire,False,,False
CLM-000136,POL-01462,PL-01462,Atlas Commercial Properties,2021-10-03,2021-10-17,2022-09-06,Closed,Smoke Damage,Smoke damage from neighbouring property fire,WI,207775,0,207775,330054,4947,207775,Smoke Damage,False,,False
CLM-000137,POL-01257,PL-01257,Liberty Food Services Inc,2024-06-10,2024-06-21,2024-08-28,Closed,Fire,Welding sparks caused small fire,TN,713246,0,713246,25000,26701,713246,Fire,False,,True
CLM-000138,POL-01566,PL-01566,Norfolk Agricultural Holdings,2022-04-07,2022-04-18,,Open,Fire,Electrical fire in utility room,OR,284924,80544,365468,208831,1350,365468,Fire,False,,True
CLM-000139,POL-01412,PL-01412,Omega Tech Campus LLC,2022-05-29,2022-06-01,2022-11-29,Closed,Wind/Hurricane,Tropical storm caused debris impact damage,IN,1537632,0,1537632,38433,74879,1537632,Wind/Hurricane,True,,True
CLM-000140,POL-01657,PL-01657,Oxford Science Properties,2022-07-01,2022-07-14,2022-10-06,Closed,Hail,Hail damage to vehicles in parking structure,NY,329466,0,329466,25000,6173,329466,Hail,False,,True
CLM-000141,POL-01146,PL-01146,Devonshire Properties Ltd,2023-02-28,2023-03-11,,Open,Hail,Severe hailstorm damaged roofing and skylights,CA,563389,153131,716520,25000,5574,716520,Hail,False,,True
CLM-000142,POL-01186,PL-01186,Lakewood Healthcare Systems,2022-05-03,2022-05-06,2022-12-22,Closed,Fire,Overheated machinery ignited nearby materials,CA,691938,0,691938,25000,19792,691938,Fire,False,,True
CLM-000143,POL-01479,PL-01479,Coastal Hospitality Group,2024-03-28,2024-04-04,2024-12-14,Closed,Flood,Flash flooding entered ground floor,MA,362847,0,362847,225634,11272,362847,Flood,True,,True
CLM-000144,POL-01540,PL-01540,Junction City Warehousing,2023-11-20,2023-11-26,2024-06-09,Closed,Water Damage,Roof leak during heavy rain,NY,285736,0,285736,32907,4871,285736,Water Damage,False,,True
CLM-000145,POL-01481,PL-01481,Metro Commercial Partners,2025-04-13,2025-04-22,,Open,Equipment Breakdown,Generator failure during power outage,NY,221652,56934,278586,202396,8666,278586,Equipment Breakdown,False,,True
CLM-000146,POL-01434,PL-01434,Oxford Science Properties,2023-07-26,2023-08-09,,Open,Hail,Severe hailstorm damaged roofing and skylights,NJ,580261,39537,619798,161316,15970,619798,Hail,False,,True
CLM-000147,POL-01297,PL-01297,Brunswick Industrial Corp,2024-02-08,2024-02-10,2024-11-22,Closed,Fire,Cooking fire spread to adjacent area,IL,410671,0,410671,97607,16838,410671,Fire,False,,True
CLM-000148,POL-01510,PL-01510,Riverside Agricultural Coop,2021-02-04,2021-02-08,2021-09-03,Closed,Fire,Cooking fire spread to adjacent area,GA,893212,0,893212,115945,38404,893212,Fire,False,,True
CLM-000149,POL-01520,PL-01520,Stonebridge Real Estate,2024-11-21,2024-11-30,2025-03-16,Closed,Fire,Overheated machinery ignited nearby materials,FL,592493,0,592493,33622,2966,592493,Fire,False,,True
CLM-000150,POL-01164,PL-01164,Platinum Automotive Corp,2025-03-19,2025-03-31,2025-07-04,Closed,Hail,Hail cracked exterior cladding,WA,521006,0,521006,229196,11045,521006,Hail,False,,True
CLM-000151,POL-01210,PL-01210,Norfolk Agricultural Holdings,2022-08-31,2022-09-07,2023-06-24,Closed,Wind/Hurricane,Tropical storm caused debris impact damage,MO,2308287,0,2308287,39385,54014,2308287,Wind/Hurricane,True,,True
CLM-000152,POL-01137,PL-01137,Ridgeway Office Parks,2024-09-30,2024-10-05,,Open,Theft/Vandalism,"Forced entry, electronics stolen",AZ,77998,16574,94572,25000,2391,94572,Theft/Vandalism,False,,False
CLM-000153,POL-01071,PL-01071,Mayfair Hospitality Ltd,2025-04-15,2025-04-28,,Open,Fire,Cooking fire spread to adjacent area,MA,472168,116499,588667,114655,18563,588667,Fire,False,,True
CLM-000154,POL-01632,PL-01632,Brunswick Industrial Corp,2022-12-19,2022-12-21,2023-05-13,Closed,Water Damage,HVAC condensation leak,LA,231995,0,231995,25000,10354,231995,Water Damage,False,,False
CLM-000155,POL-01124,PL-01124,Eclipse Energy Holdings,2022-02-26,2022-03-06,2022-06-08,Closed,Theft/Vandalism,Copper wire theft from HVAC units,TX,138045,0,138045,25000,5249,138045,Theft/Vandalism,False,,False
CLM-000156,POL-01007,PL-01007,Midwest Agricultural Coop,2025-04-30,2025-05-11,2026-04-01,Closed,Hail,Hail damage to vehicles in parking structure,MN,331547,0,331547,35000,10948,331547,Hail,False,,True
CLM-000157,POL-01298,PL-01298,Timber Creek Manufacturing,2021-11-11,2021-11-13,2022-06-03,Closed,Equipment Breakdown,Generator failure during power outage,MN,257328,0,257328,26864,4908,257328,Equipment Breakdown,False,,True
CLM-000158,POL-01255,PL-01255,Omega Tech Campus LLC,2025-11-30,2025-12-12,2026-09-05,Closed,Fire,Overheated machinery ignited nearby materials,MO,527195,0,527195,157648,13781,527195,Fire,False,,True
CLM-000159,POL-01088,PL-01088,Kensington Real Estate Trust,2023-01-13,2023-01-17,2023-10-23,Closed,Smoke Damage,Internal smoke damage from electrical short,MO,151142,0,151142,25000,428,151142,Smoke Damage,False,,False
CLM-000160,POL-01107,PL-01107,Portland Warehousing Inc,2022-07-19,2022-07-24,2023-07-11,Closed,Flood,Storm surge caused basement flooding,TX,492284,0,492284,101720,16417,492284,Flood,True,,True
CLM-000161,POL-01251,PL-01251,Liberty Food Services Inc,2022-05-13,2022-05-23,,Open,Smoke Damage,Internal smoke damage from electrical short,NY,34612,8369,42981,25000,1022,42981,Smoke Damage,False,,False
CLM-000162,POL-01655,PL-01655,Jasper Distribution LLC,2023-09-27,2023-10-06,2024-09-01,Closed,Wind/Hurricane,High winds damaged signage and awnings,OR,2393957,0,2393957,54048,72612,2393957,Wind/Hurricane,True,,True
CLM-000163,POL-01656,PL-01656,Zephyr Logistics Holdings,2025-06-14,2025-06-25,2025-09-02,Closed,Water Damage,Pipe burst caused interior flooding,PA,235581,0,235581,25000,11387,235581,Water Damage,False,,False
CLM-000164,POL-01242,PL-01242,Oxford Science Properties,2023-05-14,2023-05-28,2023-12-31,Closed,Water Damage,Pipe burst caused interior flooding,FL,260413,0,260413,25000,8425,260413,Water Damage,False,,True
CLM-000165,POL-01444,PL-01444,Ironclad Manufacturing LLC,2023-03-28,2023-04-11,2024-03-13,Closed,Flood,Storm surge caused basement flooding,MO,902682,0,902682,29905,40985,902682,Flood,True,,True
CLM-000166,POL-01219,PL-01219,Zephyr Logistics Holdings,2021-07-22,2021-07-27,2022-03-20,Closed,Hail,Severe hailstorm damaged roofing and skylights,OH,53520,0,53520,38509,1221,53520,Hail,False,,False
CLM-000167,POL-01252,PL-01252,Albion Commercial Group,2022-05-25,2022-05-30,2023-02-07,Closed,Water Damage,Pipe burst caused interior flooding,NJ,264054,0,264054,25000,6049,264054,Water Damage,False,,True
CLM-000168,POL-01626,PL-01626,Albion Commercial Group,2025-04-28,2025-05-12,2026-03-04,Closed,Wind/Hurricane,High winds damaged signage and awnings,WA,1937755,0,1937755,221372,71765,1937755,Wind/Hurricane,True,,True
CLM-000169,POL-01736,PL-01736,Exeter Healthcare Properties,2025-10-21,2025-10-23,2026-05-09,Closed,Wind/Hurricane,Tropical storm caused debris impact damage,MI,1986651,0,1986651,190280,53464,1986651,Wind/Hurricane,True,,True
CLM-000170,POL-01229,PL-01229,Ironclad Manufacturing LLC,2021-07-05,2021-07-16,2022-02-27,Closed,Wind/Hurricane,Tropical storm caused debris impact damage,OR,845070,0,845070,87858,21008,845070,Wind/Hurricane,True,,True
CLM-000171,POL-01189,PL-01189,Essex Food Manufacturing,2023-09-22,2023-09-28,2024-04-11,Closed,Equipment Breakdown,Boiler malfunction,SC,114902,0,114902,27206,4336,114902,Equipment Breakdown,False,,False
CLM-000172,POL-01166,PL-01166,Riverside Agricultural Coop,2023-11-03,2023-11-15,2024-10-26,Closed,Wind/Hurricane,High winds damaged signage and awnings,NJ,409716,0,409716,38322,15503,409716,Wind/Hurricane,True,,True
CLM-000173,POL-01533,PL-01533,Zephyr Logistics Holdings,2024-12-28,2025-01-07,,Open,Fire,Welding sparks caused small fire,LA,676101,18936,695037,134217,4927,695037,Fire,False,,True
CLM-000174,POL-01343,PL-01343,Albion Commercial Group,2021-08-01,2021-08-15,2022-01-28,Closed,Water Damage,Pipe burst caused interior flooding,OR,163864,0,163864,74972,8188,163864,Water Damage,False,,False
CLM-000175,POL-01445,PL-01445,Eastwood Retail Holdings,2022-07-15,2022-07-16,2023-04-24,Closed,Equipment Breakdown,Elevator motor failure,FL,133279,0,133279,25000,6552,133279,Equipment Breakdown,False,,False
CLM-000176,POL-01246,PL-01246,Quantum Data Systems LLC,2021-10-25,2021-10-26,2022-04-24,Closed,Flood,Flash flooding entered ground floor,TN,716498,0,716498,25000,30720,716498,Flood,True,,True
CLM-000177,POL-01479,PL-01479,Coastal Hospitality Group,2024-03-09,2024-03-13,2024-11-05,Closed,Flood,Flash flooding entered ground floor,MA,680336,0,680336,225634,19760,680336,Flood,True,,True
CLM-000178,POL-01619,PL-01619,Devonshire Properties Ltd,2022-06-20,2022-07-02,2023-01-22,Closed,Hail,Hail damage to vehicles in parking structure,CT,545311,0,545311,38947,10094,545311,Hail,False,,True
CLM-000179,POL-01235,PL-01235,Timber Creek Manufacturing,2021-10-03,2021-10-09,2022-03-08,Closed,Wind/Hurricane,High winds damaged signage and awnings,MI,959846,0,959846,249736,6179,959846,Wind/Hurricane,True,,True
CLM-000180,POL-01501,PL-01501,Essex Food Manufacturing,2022-04-12,2022-04-24,,Open,Theft/Vandalism,Vandalism to exterior and lobby,TN,127425,31587,159012,181990,4473,159012,Theft/Vandalism,False,,False
CLM-000181,POL-01547,PL-01547,Windmill Manufacturing Co,2025-09-10,2025-09-11,2026-06-02,Closed,Equipment Breakdown,Boiler malfunction,WA,124064,0,124064,25000,3666,124064,Equipment Breakdown,False,,False
CLM-000182,POL-01066,PL-01066,Quantum Data Systems LLC,2024-02-19,2024-03-01,2024-04-18,Closed,Lightning,Lightning caused transformer failure,TN,67975,0,67975,29324,2948,67975,Lightning,False,,False
CLM-000183,POL-01147,PL-01147,Highland Hospitality Group,2022-07-20,2022-07-30,2022-12-26,Closed,Fire,Electrical fire in utility room,CT,417324,0,417324,154222,12472,417324,Fire,False,,True
CLM-000184,POL-01438,PL-01438,Kensington Real Estate Trust,2022-03-17,2022-03-28,2022-12-03,Closed,Theft/Vandalism,Vandalism to exterior and lobby,OH,212977,0,212977,25000,7424,212977,Theft/Vandalism,False,,False
CLM-000185,POL-01303,PL-01303,Lancaster Manufacturing PLC,2023-04-14,2023-04-17,2024-02-14,Closed,Wind/Hurricane,High winds damaged signage and awnings,WA,1436480,0,1436480,142303,22585,1436480,Wind/Hurricane,True,,True
CLM-000186,POL-01004,PL-01004,Western Distribution,2024-04-18,2024-04-20,2024-06-23,Closed,Smoke Damage,Smoke damage from neighbouring property fire,CO,27865,0,27865,65000,576,27865,Smoke Damage,False,,False
CLM-000187,POL-01160,PL-01160,Silverstone Automotive Group,2025-04-04,2025-04-07,2025-08-04,Closed,Equipment Breakdown,Compressor failure in HVAC system,MI,134495,0,134495,42143,6246,134495,Equipment Breakdown,False,,False
CLM-000188,POL-01715,PL-01715,Warwick Automotive Parts,2024-03-21,2024-04-02,2024-11-04,Closed,Fire,Welding sparks caused small fire,MN,157323,0,157323,99302,5478,157323,Fire,False,,False
CLM-000189,POL-01139,PL-01139,Hampshire Tech Parks Ltd,2021-12-30,2022-01-11,2022-09-06,Closed,Flood,Storm surge caused basement flooding,CT,356185,0,356185,57573,1615,356185,Flood,True,,True
CLM-000190,POL-01261,PL-01261,Sheffield Steel Processing,2024-07-20,2024-07-22,2025-02-08,Closed,Water Damage,Sprinkler malfunction caused water damage,IN,104324,0,104324,78089,490,104324,Water Damage,False,,False
CLM-000191,POL-01257,PL-01257,Liberty Food Services Inc,2021-05-02,2021-05-13,2021-12-09,Closed,Fire,Electrical fire in utility room,TN,664036,0,664036,25000,57,664036,Fire,False,,True
CLM-000192,POL-01524,PL-01524,Mayfair Hospitality Ltd,2025-06-27,2025-07-07,2026-05-11,Closed,Fire,Overheated machinery ignited nearby materials,WA,390322,0,390322,109384,18651,390322,Fire,False,,True
CLM-000193,POL-01194,PL-01194,Bayside Properties LLC,2022-12-09,2022-12-11,2023-03-28,Closed,Hail,Hail cracked exterior cladding,WI,318992,0,318992,150377,9154,318992,Hail,False,,True
CLM-000194,POL-01444,PL-01444,Ironclad Manufacturing LLC,2021-11-01,2021-11-15,2022-07-16,Closed,Theft/Vandalism,"Forced entry, electronics stolen",MO,199731,0,199731,29905,387,199731,Theft/Vandalism,False,,False
CLM-000195,POL-01533,PL-01533,Zephyr Logistics Holdings,2022-08-20,2022-08-22,,Open,Earthquake,Foundation damage from earthquake,LA,2422212,678883,3101095,134217,21850,3101095,Earthquake,True,,True
CLM-000196,POL-01515,PL-01515,Grosvenor Retail Holdings,2021-11-14,2021-11-24,2022-06-04,Closed,Fire,Welding sparks caused small fire,TX,167727,0,167727,25000,4595,167727,Fire,False,,False
CLM-000197,POL-01398,PL-01398,Zenith Food Processing Corp,2021-05-15,2021-05-21,2021-10-18,Closed,Equipment Breakdown,Generator failure during power outage,MI,426484,0,426484,68914,5106,426484,Equipment Breakdown,False,,True
CLM-000198,POL-01484,PL-01484,Meridian Healthcare Properties,2023-09-11,2023-09-24,2024-08-08,Closed,Fire,Electrical fire in utility room,WI,466198,0,466198,143013,2120,466198,Fire,False,,True
CLM-000199,POL-01640,PL-01640,Inverness Energy Group,2023-12-26,2024-01-04,2024-08-13,Closed,Wind/Hurricane,High winds damaged signage and awnings,IN,1341235,0,1341235,52984,13474,1341235,Wind/Hurricane,True,,True
CLM-000200,POL-01317,PL-01317,Timber Creek Manufacturing,2024-07-06,2024-07-13,2025-02-27,Closed,Fire,Welding sparks caused small fire,MA,818252,0,818252,116040,3370,818252,Fire,False,,True
CLM-000201,POL-01020,PL-01020,Riverside Agricultural Coop,2023-03-08,2023-03-13,2023-12-17,Closed,Water Damage,HVAC condensation leak,LA,137530,0,137530,111230,4703,137530,Water Damage,False,,False
CLM-000202,POL-01045,PL-01045,Falcon Energy Partners,2022-09-21,2022-10-01,2023-08-09,Closed,Water Damage,Roof leak during heavy rain,MO,39571,0,39571,25000,620,39571,Water Damage,False,,False
CLM-000203,POL-01036,PL-01036,Brunswick Industrial Corp,2022-01-21,2022-01-27,2022-11-22,Closed,Water Damage,Pipe burst caused interior flooding,PA,41522,0,41522,41027,1813,41522,Water Damage,False,,False
CLM-000204,POL-01727,PL-01727,Eastwood Retail Holdings,2024-10-26,2024-11-07,2024-12-17,Closed,Water Damage,Roof leak during heavy rain,WA,322227,0,322227,320068,7366,322227,Water Damage,False,,True
CLM-000205,POL-01189,PL-01189,Essex Food Manufacturing,2022-02-28,2022-03-10,,Open,Earthquake,Structural cracking from seismic event,SC,2194749,134060,2328809,27206,101187,2328809,Earthquake,True,,True
CLM-000206,POL-01212,PL-01212,Uptown Retail Partners,2022-05-08,2022-05-19,2022-11-23,Closed,Collapse,Roof section collapsed under snow load,VA,210290,0,210290,65828,8690,210290,Collapse,False,,False
CLM-000207,POL-01377,PL-01377,Harbor Point Industries,2024-05-11,2024-05-15,2025-04-24,Closed,Collapse,Partial wall collapse,WI,530193,0,530193,325828,18037,530193,Collapse,False,,True
CLM-000208,POL-01702,PL-01702,Pioneer Cold Storage Inc,2025-12-05,2025-12-16,2026-05-23,Closed,Flood,Storm surge caused basement flooding,PA,976666,0,976666,62015,499,976666,Flood,True,,True
CLM-000209,POL-01419,PL-01419,Norfolk Agricultural Holdings,2025-05-15,2025-05-23,2025-10-21,Closed,Water Damage,Pipe burst caused interior flooding,NC,319921,0,319921,93729,11077,319921,Water Damage,False,,True
CLM-000210,POL-01032,PL-01032,Inverness Energy Group,2022-04-02,2022-04-04,2023-03-24,Closed,Theft/Vandalism,"Forced entry, electronics stolen",FL,109316,0,109316,146222,868,109316,Theft/Vandalism,False,,False
CLM-000211,POL-01483,PL-01483,Sheffield Steel Processing,2025-02-24,2025-03-01,2025-10-15,Closed,Fire,Overheated machinery ignited nearby materials,WA,596200,0,596200,88007,8538,596200,Fire,False,,True
CLM-000212,POL-01563,PL-01563,Falcon Energy Partners,2025-12-19,2025-12-23,2026-03-03,Closed,Wind/Hurricane,High winds damaged signage and awnings,MN,1864616,0,1864616,47039,18719,1864616,Wind/Hurricane,True,,True
CLM-000213,POL-01515,PL-01515,Grosvenor Retail Holdings,2025-09-03,2025-09-10,,Open,Smoke Damage,Smoke damage from neighbouring property fire,TX,121046,8302,129348,25000,4615,129348,Smoke Damage,False,,False
CLM-000214,POL-01071,PL-01071,Mayfair Hospitality Ltd,2021-10-20,2021-10-28,2022-09-20,Closed,Wind/Hurricane,Hurricane wind damage to roofing and exterior,MA,1538318,0,1538318,114655,71809,1538318,Wind/Hurricane,True,,True
CLM-000215,POL-01194,PL-01194,Bayside Properties LLC,2021-11-09,2021-11-15,,Open,Equipment Breakdown,Generator failure during power outage,WI,334462,1425,335887,150377,5855,335887,Equipment Breakdown,False,,True
CLM-000216,POL-01209,PL-01209,Zephyr Logistics Holdings,2022-08-21,2022-08-30,2022-10-22,Closed,Collapse,Roof section collapsed under snow load,MI,143199,0,143199,76902,4490,143199,Collapse,False,,False
CLM-000217,POL-01337,PL-01337,Riverside Agricultural Coop,2021-05-23,2021-06-06,2021-10-25,Closed,Theft/Vandalism,Copper wire theft from HVAC units,SC,107163,0,107163,31154,1542,107163,Theft/Vandalism,False,,False
CLM-000218,POL-01160,PL-01160,Silverstone Automotive Group,2023-04-20,2023-04-29,,Open,Fire,Electrical fire in utility room,MI,1014893,208488,1223381,42143,36560,1223381,Fire,False,,True
CLM-000219,POL-01711,PL-01711,Grosvenor Retail Holdings,2022-04-24,2022-04-25,,Open,Lightning,Lightning caused transformer failure,AL,123704,3851,127555,44184,3480,127555,Lightning,False,,False
CLM-000220,POL-01397,PL-01397,Norfolk Agricultural Holdings,2024-07-10,2024-07-11,2025-05-24,Closed,Equipment Breakdown,Compressor failure in HVAC system,CT,80249,0,80249,64297,2603,80249,Equipment Breakdown,False,,False
CLM-000221,POL-01472,PL-01472,Albion Commercial Group,2024-06-15,2024-06-22,2025-03-02,Closed,Lightning,Lightning strike damaged electrical systems,FL,200541,0,200541,30541,4918,200541,Lightning,False,,False
CLM-000222,POL-01251,PL-01251,Liberty Food Services Inc,2021-11-10,2021-11-18,2022-09-10,Closed,Wind/Hurricane,Tropical storm caused debris impact damage,NY,2373069,0,2373069,25000,17134,2373069,Wind/Hurricane,True,,True
CLM-000223,POL-01627,PL-01627,Excalibur Property Trust,2022-06-11,2022-06-14,2023-01-15,Closed,Equipment Breakdown,Compressor failure in HVAC system,OH,434476,0,434476,29626,17497,434476,Equipment Breakdown,False,,True
CLM-000224,POL-01144,PL-01144,Xenon Technology Inc,2025-10-11,2025-10-15,2026-06-03,Closed,Fire,Cooking fire spread to adjacent area,TN,472164,0,472164,153542,8332,472164,Fire,False,,True
CLM-000225,POL-01415,PL-01415,Lakewood Healthcare Systems,2023-06-29,2023-07-06,2024-03-22,Closed,Water Damage,HVAC condensation leak,NJ,171203,0,171203,133785,2790,171203,Water Damage,False,,False
CLM-000226,POL-01409,PL-01409,Devonshire Properties Ltd,2024-12-30,2025-01-03,2025-11-16,Closed,Fire,Cooking fire spread to adjacent area,CA,589338,0,589338,25000,19428,589338,Fire,False,,True
CLM-000227,POL-01613,PL-01613,Devonshire Properties Ltd,2025-06-11,2025-06-18,2026-01-18,Closed,Water Damage,HVAC condensation leak,GA,187181,0,187181,91316,3676,187181,Water Damage,False,,False
CLM-000228,POL-01465,PL-01465,Jasper Distribution LLC,2025-09-02,2025-09-15,2026-08-17,Closed,Fire,Welding sparks caused small fire,WA,709192,0,709192,53355,7070,709192,Fire,False,,True
CLM-000229,POL-01338,PL-01338,Silverstone Automotive Group,2023-11-26,2023-12-03,2024-03-27,Closed,Hail,Hail damage to vehicles in parking structure,IN,127762,0,127762,136514,4433,127762,Hail,False,,False
CLM-000230,POL-01395,PL-01395,Trafalgar Real Estate,2024-10-25,2024-11-04,2025-02-11,Closed,Hail,Hail cracked exterior cladding,IN,136510,0,136510,59293,3925,136510,Hail,False,,False
CLM-000231,POL-01207,PL-01207,Trafalgar Real Estate,2025-02-21,2025-02-24,2025-11-27,Closed,Fire,Overheated machinery ignited nearby materials,AZ,380160,0,380160,129908,17734,380160,Fire,False,,True
CLM-000232,POL-01601,PL-01601,Windmill Manufacturing Co,2021-05-14,2021-05-16,,Open,Water Damage,Pipe burst caused interior flooding,WA,244829,7129,251958,29287,11264,251958,Water Damage,False,,True
CLM-000233,POL-01044,PL-01044,Beacon Light Industries,2023-01-01,2023-01-05,2023-04-18,Closed,Wind/Hurricane,Hurricane wind damage to roofing and exterior,WA,361481,0,361481,59995,15194,361481,Wind/Hurricane,True,,True
CLM-000234,POL-01365,PL-01365,Canterbury Hotels PLC,2023-07-04,2023-07-12,2024-01-23,Closed,Hail,Hail cracked exterior cladding,OH,216680,0,216680,109264,3139,216680,Hail,False,,False
CLM-000235,POL-01105,PL-01105,Olympia Agricultural Co,2021-12-01,2021-12-08,2022-03-01,Closed,Equipment Breakdown,Boiler malfunction,TX,97121,0,97121,34877,2727,97121,Equipment Breakdown,False,,False
CLM-000236,POL-01619,PL-01619,Devonshire Properties Ltd,2022-05-26,2022-05-28,2022-09-08,Closed,Water Damage,Sprinkler malfunction caused water damage,CT,369156,0,369156,38947,13948,369156,Water Damage,False,,True
CLM-000237,POL-01137,PL-01137,Ridgeway Office Parks,2025-04-21,2025-04-22,2026-03-17,Closed,Earthquake,Foundation damage from earthquake,AZ,1523876,0,1523876,25000,44565,1523876,Earthquake,True,,True
CLM-000238,POL-01186,PL-01186,Lakewood Healthcare Systems,2024-10-07,2024-10-17,2025-05-01,Closed,Water Damage,HVAC condensation leak,CA,31949,0,31949,25000,1416,31949,Water Damage,False,,False
CLM-000239,POL-01072,PL-01072,Keystone Office Holdings,2021-11-03,2021-11-05,2022-03-13,Closed,Fire,Overheated machinery ignited nearby materials,SC,681550,0,681550,36737,24243,681550,Fire,False,,True
CLM-000240,POL-01084,PL-01084,Metro Commercial Partners,2024-06-27,2024-07-07,2025-02-25,Closed,Water Damage,Roof leak during heavy rain,NC,369249,0,369249,45912,15716,369249,Water Damage,False,,True
CLM-000241,POL-01201,PL-01201,Quantum Data Systems LLC,2021-02-18,2021-02-26,2021-08-30,Closed,Water Damage,Roof leak during heavy rain,AZ,368712,0,368712,83495,11972,368712,Water Damage,False,,True
CLM-000242,POL-01695,PL-01695,Grosvenor Retail Holdings,2021-03-24,2021-03-29,2021-12-13,Closed,Wind/Hurricane,High winds damaged signage and awnings,CA,1165605,0,1165605,26216,19402,1165605,Wind/Hurricane,True,,True
CLM-000243,POL-01027,PL-01027,Frontier Agricultural Services,2025-02-13,2025-02-23,2025-03-24,Closed,Fire,Overheated machinery ignited nearby materials,IN,1028683,0,1028683,207078,10268,1028683,Fire,False,,True
CLM-000244,POL-01465,PL-01465,Jasper Distribution LLC,2024-11-28,2024-12-05,2025-06-17,Closed,Water Damage,HVAC condensation leak,WA,37594,0,37594,53355,963,37594,Water Damage,False,,False
CLM-000245,POL-01433,PL-01433,Imperial Tech Solutions,2025-01-12,2025-01-17,2025-11-20,Closed,Water Damage,Roof leak during heavy rain,MO,144745,0,144745,162741,2038,144745,Water Damage,False,,False
CLM-000246,POL-01084,PL-01084,Metro Commercial Partners,2022-10-15,2022-10-29,,Open,Collapse,Roof section collapsed under snow load,NC,1109029,221658,1330687,45912,44957,1330687,Collapse,False,,True
CLM-000247,POL-01748,PL-01748,Grosvenor Retail Holdings,2021-11-12,2021-11-22,2022-04-12,Closed,Fire,Electrical fire in utility room,WI,142926,0,142926,145146,68,142926,Fire,False,,False
CLM-000248,POL-01008,PL-01008,Atlantic Seafood Processing,2021-05-25,2021-05-28,2022-04-18,Closed,Equipment Breakdown,Boiler malfunction,MA,173276,0,173276,50000,7566,173276,Equipment Breakdown,False,,False
CLM-000249,POL-01655,PL-01655,Jasper Distribution LLC,2022-02-13,2022-02-25,2022-04-25,Closed,Fire,Cooking fire spread to adjacent area,OR,189538,0,189538,54048,6806,189538,Fire,False,,False
CLM-000250,POL-01090,PL-01090,Apex Manufacturing Corp,2021-04-13,2021-04-25,2021-06-22,Closed,Fire,Welding sparks caused small fire,WA,845760,0,845760,134448,26449,845760,Fire,False,,True
CLM-000251,POL-01201,PL-01201,Quantum Data Systems LLC,2024-05-24,2024-06-05,2024-09-26,Closed,Water Damage,Sprinkler malfunction caused water damage,AZ,94054,0,94054,83495,3440,94054,Water Damage,False,,False
CLM-000252,POL-01580,PL-01580,Falcon Energy Partners,2021-01-13,2021-01-15,2021-05-13,Closed,Flood,Flash flooding entered ground floor,VA,185772,0,185772,138547,1336,185772,Flood,True,,False
CLM-000253,POL-01537,PL-01537,Falcon Energy Partners,2022-01-21,2022-01-24,,Open,Hail,Hail damage to vehicles in parking structure,IN,146033,33368,179401,59657,7243,179401,Hail,False,,False
CLM-000254,POL-01163,PL-01163,Newport Industrial Corp,2023-04-25,2023-05-04,2024-04-16,Closed,Water Damage,HVAC condensation leak,MA,317614,0,317614,199816,6773,317614,Water Damage,False,,True
